Date,Category,Fund,Amount,Note
2017-01-23,Food,Restaurants,21.04,Mexican Food
2017-01-23,Food,Restaurants,3.39,Chick-fil-a
2017-01-24,Personal,Pocket Money (Darren),114.91,CSI
2017-01-25,Saving,College Fund,205,GRE
2017-01-25,Personal,Pocket Money (Jamie),1.19,Amazon
2017-01-27,Clothing,Jamie (Clothing),72.29,American Eagle
2017-01-27,Transportation,Repairs & Tires,89.55,2011 Kia Soul
2017-01-28,Recreational,Weddings,30,Dress
2017-01-28,Food,Restaurants,15,Pizza - Cash
2017-01-29,Recreational,Audible,14.95,
2017-01-30,Food,Groceries,2.68,Doritos
2017-01-30,Transportation,Gas & Oil,14.67,Gas 2014 Kia
2017-01-30,Personal,Gifts (Including Christmas),13.99,Grandma's ring
2017-01-30,Food,Groceries,109.12,Aldi
2017-01-31,Saving,College Fund,19.48,Weigels
2017-01-31,Personal,Gifts (Including Christmas),41.58,Gifts
2017-02-01,Personal,Pocket Money (Darren),22,Carcassonne
2017-02-02,Personal,Gifts (Including Christmas),18.38,Publix
2017-02-02,Housing,Rent,877,Pinnacle
2017-02-03,Food,Groceries,2.04,Target
2017-02-03,Food,Restaurants,31.5,Chaiyos
2017-02-04,Food,Groceries,38.22,Walmart Total 42.22
2017-02-04,Personal,Pocket Money (Jamie),4,Walmart Total 42.22
2017-02-04,Personal,Pocket Money (Jamie),21.82,TJ Maxx
2017-02-04,Medical / Health,Medications,4,Walmart
2017-02-05,Personal,Pet Supplies,20.55,Kroger
2017-02-05,Personal,Pocket Money (Darren),7.65,Kroger
2017-02-05,Recreational,Entertainment,20.75,Sams party Store
2017-02-06,Utilities,Internet,54.85,Comcast
2017-02-06,Food,Restaurants,21,Pelanchos
2017-02-06,Personal,Pocket Money (Jamie),22.51,Salon Centric
2017-02-07,Utilities,Electricity,50.69,Knox Utilities
2017-02-07,Personal,Pocket Money (Darren),166.28,Paypal to CSI
2017-02-07,Utilities,Water,51.16,West Knox Uitilities
2017-02-08,Transportation,Gas & Oil,20.78,Sams Club
2017-02-08,Food,Groceries,14.2,Walmart
2017-02-08,Personal,Pet Supplies,19,Walmart - Litter & Toys
2017-02-08,Housing,Down Payment,18.36,"Coasters, Butter Dish, Valentines"
2017-02-08,Saving,College Fund,60,UT Grad App
2017-02-09,Personal,Gifts (Including Christmas),32.14,Amazon
2017-02-10,Debts,2014 Kia Soul,"3,939.83",
2017-02-10,Transportation,License & Taxes,71,Registration TN 2011
2017-02-10,Personal,Gifts (Including Christmas),1.47,USPS Stamps
2017-02-10,Personal,Gifts (Including Christmas),4.9,USPS Stamps
2017-02-10,Personal,Gifts (Including Christmas),36.86,Amazon
2017-02-11,Food,Restaurants,16.99,Zaxby's
2017-02-12,Personal,Pocket Money (Jamie),122.55,Cash - Jamie - Clothes - BR
2017-02-13,Food,Groceries,5.46,Walmart
2017-02-13,Food,Restaurants,11.94,Subway
2017-02-13,Food,Groceries,33.53,Kroger
2017-02-13,Food,Groceries,80.19,Aldi
2017-02-13,Personal,Cosmetics / Hair Care,25.25,Cash - Cosmoprof
2017-02-14,Food,Restaurants,6.64,McDonalds
2017-02-14,Food,Groceries,5.54,Walmart AA pt 2
2017-02-15,Food,Groceries,6.13,Walmart
2017-02-15,Personal,Gifts (Including Christmas),17.76,Shutterfly
2017-02-15,Personal,Miscellaneous,30,To lauren - shipping charger
2017-02-15,Saving,College Fund,11.93,Walmart
2017-02-16,Food,Restaurants,6.56,Subway
2017-02-16,Saving,College Fund,20,Pizza
2017-02-17,Personal,Pocket Money (Jamie),-100,
2017-02-18,Clothing,Darren (Clothing),52.65,Banana Republic
2017-02-18,Food,Restaurants,43.7,Ober Restaurant
2017-02-18,Personal,Gifts (Including Christmas),21.04,OshKosh
2017-02-18,Clothing,Jamie (Clothing),21.95,Lucky
2017-02-18,Transportation,Gas & Oil,25.41,Gas 2014
2017-02-18,Personal,Pocket Money (Darren),-100,
2017-02-19,Debts,2014 Kia Soul,-859.22,
2017-02-20,Debts,2014 Kia Soul,"-1,849.00",
2017-02-21,Recreational,Entertainment,17.48,Sir Goony's
2017-02-21,Personal,Pocket Money (Jamie),40.07,Famous Footwear
2017-02-21,Debts,2014 Kia Soul,-177,
2017-02-22,Medical / Health,Medications,4,Walmart
2017-02-22,Personal,Pocket Money (Jamie),8.36,Walmart AA pt 1
2017-02-22,Debts,2014 Kia Soul,-189.58,
2017-02-23,Transportation,Gas & Oil,21.46,Gas 2011
2017-02-23,Personal,Pocket Money (Darren),3.27,Itunes
2017-02-23,Medical / Health,Doctor Bills,35,Doctor Co-pay
2017-02-23,Recreational,Weddings,-210,
2017-02-24,Food,Restaurants,42.48,Pelanchos
2017-02-24,Food,Restaurants,5.67,Dunkin Donuts
2017-02-24,Transportation,Gas & Oil,22.98,Gas 2014
2017-02-24,Recreational,Entertainment,5,Cash - Parking
2017-02-24,Food,Restaurants,20,Cash - Olive Garden
2017-02-26,Charity,Tithes,5,ThePoint Church
2017-02-27,Food,Restaurants,6.5,Ray's Place
2017-02-27,Personal,Pocket Money (Jamie),16.46,American Eagle
